symbol,binance_symbol,events,long_events,short_events,avg_edge_bps,max_edge_bps,max_binance_move_bps,max_mexc_move_bps,min_age_ms,live_spread_bps,live_bid,live_ask
AKE_USDT,AKEUSDT,24,14,10,23.080156,56.122713,34.872248,17.378944,15.0,29.641904,0.0108469,0.0108791
VELVET_USDT,VELVETUSDT,10,1,9,24.767885,45.591999,60.420127,46.110747,8.0,0.995074,1.0049,1.005
POWER_USDT,POWERUSDT,4,2,2,14.005578,17.577076,14.622558,9.739470,15.0,2.436350,0.08208,0.0821
STO_USDT,STOUSDT,2,0,2,16.793546,18.502842,14.605327,7.973422,181.0,7.975542,0.0376,0.03763
XAI_USDT,XAIUSDT,2,2,0,13.008228,14.775736,23.052108,4.614320,25.0,7.665772,0.00652,0.006525
SIREN_USDT,SIRENUSDT,1,0,1,59.612063,59.612063,59.292373,0.000000,41.0,11.125533,0.02695,0.02698
ATOM_USDT,ATOMUSDT,1,0,1,17.977506,17.977506,6.418485,0.000000,286.0,6.432937,1.554,1.555
LYN_USDT,LYNUSDT,1,1,0,12.159467,12.159467,7.176175,0.000000,355.0,2.870676,0.03483,0.03484
ORDI_USDT,ORDIUSDT,1,1,0,9.529396,9.529396,14.662759,2.932981,98.0,2.930403,3.412,3.413
BEAT_USDT,BEATUSDT,1,1,0,8.540683,8.540683,5.508992,0.000000,332.0,15.785320,0.633,0.634
EDEN_USDT,EDENUSDT,1,1,0,6.333124,6.333124,2.765359,0.000000,439.0,,,
EVAA_USDT,EVAAUSDT,1,1,0,4.956331,4.956331,3.777386,2.519209,36.0,,,
FHE_USDT,FHEUSDT,1,0,1,4.255059,4.255059,4.108463,0.000000,65.0,8.216927,0.02433,0.02435
ASTER_USDT,ASTERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,1.665418,0.6004,0.6005
JASMY_USDT,JASMYUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,2.456097,0.004071,0.004072
BILL_USDT,BILLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,8.900757,0.02246,0.02248
1000BONK_USDT,1000BONKUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
AAVE_USDT,AAVEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ADA_USDT,ADAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ALGO_USDT,ALGOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ALLO_USDT,ALLOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
APE_USDT,APEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
APT_USDT,APTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ARB_USDT,ARBUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
AVAX_USDT,AVAXUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BANK_USDT,BANKUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BCH_USDT,BCHUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BRETT_USDT,BRETTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BSB_USDT,BSBUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BTW_USDT,BTWUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
CHIP_USDT,CHIPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
CHZ_USDT,CHZUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
COAI_USDT,COAIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
CRV_USDT,CRVUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DASH_USDT,DASHUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DEXE_USDT,DEXEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DOGE_USDT,DOGEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DOT_USDT,DOTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ENA_USDT,ENAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ESPORTS_USDT,ESPORTSUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ETHFI_USDT,ETHFIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FARTCOIN_USDT,FARTCOINUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FET_USDT,FETUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FOLKS_USDT,FOLKSUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
GALA_USDT,GALAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
GOAT_USDT,GOATUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
HBAR_USDT,HBARUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
HYPE_USDT,HYPEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ICP_USDT,ICPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
INJ_USDT,INJUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
JUP_USDT,JUPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
KAS_USDT,KASUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LAB_USDT,LABUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LAYER_USDT,LAYERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LDO_USDT,LDOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LIGHT_USDT,LIGHTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LINK_USDT,LINKUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LTC_USDT,LTCUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
MEGA_USDT,MEGAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
MYX_USDT,MYXUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
NEAR_USDT,NEARUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ONDO_USDT,ONDOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
OP_USDT,OPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PENGU_USDT,PENGUUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PIPPIN_USDT,PIPPINUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PNUT_USDT,PNUTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
POL_USDT,POLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PYTH_USDT,PYTHUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
RAVE_USDT,RAVEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
RENDER_USDT,RENDERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
RE_USDT,REUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
RIVER_USDT,RIVERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
SEI_USDT,SEIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
SKYAI_USDT,SKYAIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
SOL_USDT,SOLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
SUI_USDT,SUIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
SYN_USDT,SYNUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
TAO_USDT,TAOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
TIA_USDT,TIAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
TRADOOR_USDT,TRADOORUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
UNI_USDT,UNIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
VIRTUAL_USDT,VIRTUALUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
VVV_USDT,VVVUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
WIF_USDT,WIFUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
WLD_USDT,WLDUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
WLFI_USDT,WLFIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
XLM_USDT,XLMUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
XPL_USDT,XPLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
XRP_USDT,XRPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ZEC_USDT,ZECUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
